UNITID,UGDS,ADM_RATE
100654,4616,0.8738
100663,12047,0.5814
100690,293,NULL
100706,6346,0.7628
100724,4704,0.459
100751,31663,0.5259
100760,1492,NULL
100812,2888,NULL
100830,4171,0.7659
100858,22095,0.8054
100937,1289,0.4839
101028,1424,NULL
101073,340,0.2363
101116,394,NULL
101143,1357,NULL
101161,4189,NULL
101189,2297,0.4538
101240,4540,NULL
101277,82,NULL
101286,3904,NULL
101295,4857,NULL
101301,1397,NULL
101365,481,0.9747
101435,1140,0.5676
101453,50,0.3333
101462,794,NULL
101471,446,NULL
101480,6714,0.5308
101499,955,NULL
101505,7256,NULL
101514,8414,NULL
101541,327,0.5755
101569,2931,NULL
101587,1974,0.531
101602,1419,NULL
101648,422,0.6431
101675,1820,NULL
101693,1367,0.6193
101709,2399,0.6542
101736,2994,NULL
101879,5846,0.5574
101897,2007,NULL
101912,1719,0.4837
101949,1085,NULL
101958,10,NULL
101994,372,NULL
102030,2632,NULL
102049,3324,0.9138
102058,165,NULL
102067,4436,NULL
102076,1987,NULL
102094,11483,0.805
102234,1379,0.4353
102261,143,1
102270,628,0.4192
102298,669,NULL
102313,1364,NULL
102368,13745,0.9125
102377,2393,0.4999
102395,72,NULL
102429,3211,NULL
102553,11833,0.8285
102580,33,NULL
102614,5152,0.7347
102632,1317,0.4896
102669,262,0.5506
102711,1209,NULL
102845,2641,NULL
103501,424,NULL
103741,104,NULL
103778,NULL,NULL
103811,274,NULL
103893,653,0.8451
103909,599,0.4413
103927,308,0.6748
103945,101,NULL
103954,90,NULL
103963,739,NULL
104090,1101,NULL
104151,42224,0.825
104160,6511,NULL
104179,33402,0.7862
104188,132,NULL
104346,4865,NULL
104364,171,NULL
104391,60,NULL
104425,3764,NULL
104434,35,NULL
104443,62,NULL
104504,89,NULL
104568,286,NULL
104577,5082,NULL
104586,2363,0.7634
104665,NULL,NULL
104708,14854,NULL
104717,45495,0.5694
104911,55,NULL
105145,4435,NULL
105154,16672,NULL
105206,2770,NULL
105215,1182,NULL
105297,1276,NULL
105330,26399,0.7804
105349,1469,NULL
105367,293,NULL
105428,9423,NULL
105482,89,NULL
105525,21843,NULL
105534,2109,NULL
105543,872,NULL
105589,349,0.6847
105659,657,NULL
105668,6514,NULL
105677,40,NULL
105701,57,NULL
105747,6431,NULL
105792,3244,NULL
105899,684,0.5916
105987,102,NULL
106041,1896,NULL
106102,1133,NULL
106111,95,NULL
106148,4634,NULL
106245,7023,0.8983
106263,656,NULL
106306,878,NULL
106315,89,NULL
106324,17,NULL
106342,683,0.7417
106351,131,NULL
106360,39,NULL
106397,22254,0.632
106412,2711,0.4193
106449,2826,NULL
106458,9128,0.704
106467,8463,0.6391
106485,2633,NULL
106494,73,NULL
106546,661,0.7826
106625,1217,NULL
106704,9082,0.8978
106713,731,0.6195
106795,916,NULL
106810,197,NULL
106829,189,NULL
106883,665,NULL
106892,134,NULL
106908,366,NULL
106980,2176,NULL
106999,995,NULL
107044,4377,0.7018
107071,3048,0.6611
107080,1315,0.771
107099,8,NULL
107123,61,NULL
107141,1661,0.7711
107220,222,NULL
107293,73,NULL
107318,912,NULL
107327,1023,NULL
107442,54,NULL
107460,1545,NULL
107488,249,NULL
107512,1477,0.6688
107521,710,NULL
107549,907,NULL
107558,672,0.8682
107585,1931,0.7719
107600,764,NULL
107619,683,NULL
107637,1218,NULL
107655,25,NULL
107664,5776,NULL
107725,1477,NULL
107743,468,NULL
107789,113,NULL
107831,72,NULL
107840,446,NULL
107877,434,0.6051
107974,1112,NULL
107983,3012,0.6913
107992,716,NULL
108065,9,NULL
108092,5511,NULL
108232,8182,NULL
108269,NULL,NULL
108348,11,NULL
108649,120,NULL
108667,5292,NULL
108807,9445,NULL
108852,303,0.7701
108861,NULL,NULL
108870,NULL,NULL
108977,126,NULL
109040,1315,NULL
109086,1,NULL
109208,27680,NULL
109350,11977,NULL
109651,1897,0.6925
109721,440,NULL
109730,62,NULL
109785,5770,0.6146
109819,18274,NULL
109907,2964,NULL
109934,199,NULL
110060,293,NULL
110097,4083,0.6485
110194,37,NULL
110219,1489,NULL
110246,10410,NULL
110307,NULL,NULL
110316,70,NULL
110334,10668,NULL
110361,6904,0.6399
110370,1516,0.6485
110398,NULL,NULL
110404,979,0.0807
110413,2887,0.6419
110422,20367,0.2949
110468,373,0.8571
110486,8144,0.6782
110495,8610,0.7434
110510,18317,0.5814
110529,23611,0.5916
110538,16305,0.6525
110547,12666,0.4791
110556,21150,0.5354
110565,34416,0.4823
110574,13361,0.6975
110583,32170,0.3189
110592,24046,0.637
110608,35605,0.4824
110617,27884,0.7194
110635,29309,0.1693
110644,29358,0.4228
110653,27317,0.4065
110662,30859,0.1799
110671,19788,0.6634
110680,28121,0.3566
110699,NULL,NULL
110705,21570,0.3577
110714,16962,0.5785
110778,9,NULL
110875,111,NULL
110918,18,1
111009,162,NULL
111054,214,NULL
111081,951,0.236
111188,1107,0.682
111391,NULL,NULL
111434,5212,NULL
111461,17933,NULL
111513,149,NULL
111638,226,0.6031
111708,195,NULL
111717,300,NULL
111726,258,NULL
111744,167,NULL
111762,92,NULL
111799,73,NULL
111887,19568,NULL
111896,4214,NULL
111920,12598,NULL
111939,19341,NULL
111948,6338,0.5403
111966,88,0.25
112075,1895,0.6504
112084,690,0.533
112127,NULL,NULL
112172,11407,NULL
112181,89,NULL
112190,19248,NULL
112251,NULL,NULL
112260,1344,0.0944
112288,393,NULL
112367,695,NULL
112385,9064,NULL
112394,649,0.8256
112446,335,NULL
112455,59,NULL
112525,NULL,NULL
112561,2286,NULL
112570,367,0.5419
112686,6214,NULL
112826,5094,NULL
113096,13001,NULL
113111,5058,NULL
113193,7755,NULL
113218,8049,NULL
113236,14882,NULL
113333,19275,NULL
113449,172,NULL
113537,19,NULL
113573,9603,NULL
113582,143,NULL
113634,17721,NULL
113698,1374,0.7775
113704,NULL,NULL
113856,31670,NULL
113980,21643,NULL
114044,453,NULL
114114,NULL,NULL
114123,361,NULL
114266,7464,NULL
114354,2624,0.4145
114390,332,0.3632
114415,103,0.5399
114433,1413,NULL
114460,270,NULL
114549,NULL,NULL
114585,NULL,NULL
114628,14,NULL
114637,16,NULL
114716,13966,NULL
114734,NULL,NULL
114761,61,NULL
114789,19510,NULL
114813,2421,0.6848
114840,NULL,NULL
114859,22033,NULL
114938,4882,NULL
114947,302,NULL
115001,13770,NULL
115010,265,NULL
115083,444,NULL
115126,10987,NULL
115214,NULL,NULL
115296,16630,NULL
115357,63,NULL
115393,11473,NULL
115409,829,0.1287
115658,124,NULL
115728,515,0.4846
115746,NULL,NULL
115755,7956,0.7709
115773,392,NULL
115861,6873,NULL
115931,441,NULL
116226,225,NULL
116350,276,NULL
116439,12281,NULL
116563,173,NULL
116712,136,NULL
116846,63,0.5979
117052,7899,NULL
117104,534,0.9732
117113,1118,NULL
117140,5367,0.4806
117168,567,0.3919
117195,1796,NULL
117238,142,NULL
117247,9482,NULL
117274,1948,NULL
117520,NULL,NULL
117557,138,NULL
117575,72,NULL
117627,1898,0.4593
117636,1038,NULL
117645,23202,NULL
117672,73,NULL
117690,8000,NULL
