STABBR,loan_ever,female,age_entry,md_faminc,md_earn_wne_p10
AL,0.9300000072,0.5299999714,20.6299991608,29039,31400
AL,0.9200000167,0.6499999762,22.6700000763,34909,40300
AL,0.9700000286,0.5099999905,32.8199996948,30037,38100
AL,0.9200000167,0.5500000119,23.1900005341,39766,46600
AL,0.9399999976,0.5699999928,20.8899993896,24029.5,27800
AL,0.9399999976,0.5600000024,20.7700004578,58976,42400
AL,0.5299999714,0.7200000286,25.6399993896,20289,27100
AL,0.8700000048,0.7200000286,28.0699996948,30811,39700
AL,0.9100000262,0.6800000072,23.4300003052,27378,34800
AL,0.9599999785,0.4900000095,20.3299999237,71775.5,45400
AL,0.9499999881,0.5699999928,19.6200008392,89942.5,41900
AL,0.5,0.7099999785,25.3500003815,20071,27700
AL,0.1000000015,0.3700000048,22.7600002289,16951,21300
AL,0.9700000286,0.7900000215,30.4099998474,28607,29800
AL,0.3600000143,0.5299999714,25.1200008392,21759,26300
AL,0.6200000048,0.6899999976,23.9799995422,25953.5,28900
AL,0.9399999976,0.6899999976,28.0200004578,29406.5,37600
AL,0,0.7099999785,25.5799999237,16516,26900
AL,NA,NA,NA,NA,NA
AL,0,0.75,25.2999992371,15490,27100
AL,0.6499999762,0.6600000262,26.0300006866,25212,27800
AL,0,0.6999999881,24.6499996185,11212.5,24400
AL,0.9700000286,0.5699999928,27.4599990845,18859,42300
AL,0.9499999881,0.5,22.9099998474,54275.5,37100
AL,0.9599999785,0.2700000107,29.0799999237,21792,32700
AL,0,0.6000000238,28.0100002289,13420.5,23500
AL,0.9200000167,0.5799999833,22.8199996948,35158,35100
AL,0,0.6999999881,25.7999992371,15942,27200
AL,0.5099999905,0.7300000191,25.7099990845,24352.5,30300
AL,0.5799999833,0.6600000262,26.0499992371,23349,27200
AL,0.9300000072,0.9700000286,22.6100006104,43020,30700
AL,0,0.6999999881,24.8500003815,14859,22300
AL,0.8600000143,0.5699999928,22.5599994659,23735,33800
AL,0,0.6700000167,25.1299991608,17373,28000
AL,0.8299999833,0.1299999952,19.8700008392,48241,48500
AL,0.9599999785,0.5099999905,21.7099990845,19948,27200
AL,0.9499999881,0.6800000072,25.1299991608,37643,37800
AL,0.9200000167,0.6899999976,21.5599994659,48019,35100
AL,0.4900000095,0.6399999857,24.5699996948,21604.5,26300
AL,0.8799999952,0.5500000119,22.2000007629,40030,36300
AL,0.3899999857,0.6899999976,26.7800006866,21012,28700
AL,0.9399999976,0.5600000024,21.2299995422,42094.5,33700
AL,0,0.6999999881,23.8600006104,15567,23200
AL,1,0.8999999762,27.4500007629,21838,29000
AL,0,0.7599999905,27.0699996948,14360,20100
AL,0,0.6600000262,26.2199993134,13324.5,22600
AL,0.9599999785,0.6499999762,21.0200004578,77481,45800
AL,NA,NA,NA,NA,NA
AL,0,0.6299999952,23.4599990845,14828,24300
AL,0.0199999996,0.6899999976,25.6800003052,17981,26000
AL,0.8999999762,0.6499999762,23.6900005341,30958,38300
AL,0.9700000286,0.7099999785,21.4899997711,58994,43800
AL,0.9700000286,0.3899999857,26.7800006866,44006,28800
AL,0.9399999976,0.4300000072,20.5400009155,25809,24700
AL,0.8000000119,0.6000000238,21.5400009155,19712,25600
AL,0,0.6600000262,26.6399993896,13844,21000
AL,0.9300000072,0.7099999785,27.5300006866,27401,36600
AL,0.9300000072,0.7099999785,27.5300006866,27401,36600
AL,0.9300000072,0.7099999785,27.5300006866,27401,36600
AL,0.9300000072,0.7099999785,27.5300006866,27401,36600
AL,0.9300000072,0.7099999785,27.5300006866,27401,36600
AL,NA,NA,NA,NA,NA
AL,0.9399999976,0.5299999714,19.5900001526,39069,37100
AL,0.9399999976,0.1299999952,31.5,31218,NA
AL,0,0.7099999785,25.7700004578,15937,25900
AK,0.8500000238,0.6299999952,25.5400009155,36717,42000
AK,NA,NA,NA,NA,NA
AK,0.8100000024,0.5799999833,24.2999992371,35138.5,38200
AK,0.8199999928,0.6600000262,26.5100002289,33802.5,39500
AK,0.9399999976,0.6399999857,26.5200004578,48081.5,47400
AK,0.5799999833,0.3199999928,28.1499996185,17052,30100
AK,0.9800000191,0.6800000072,31.0699996948,35504,42000
AK,0.8500000238,0.6299999952,25.5400009155,36717,42000
AK,0.9100000262,0.8500000238,28.4099998474,20949.5,30900
AZ,0.9399999976,0.8100000024,29.3899993896,21163,28300
AZ,0.9700000286,0.2300000042,22.8299999237,31163,25200
AZ,0.9800000191,0.9599999785,26.5100002289,23733,19300
AZ,0.9200000167,0.9700000286,25.7700004578,21213.5,16400
AZ,1,0.3400000036,28.5100002289,30648,NA
FL,NA,NA,NA,NA,NA
AZ,0.2399999946,0.6299999952,26.3199996948,11429,NA
AZ,0.9700000286,0.150000006,36.0800018311,24261,30700
AZ,0.8999999762,0.8399999738,26.2000007629,17083,26200
AZ,NA,NA,NA,NA,26200
AZ,NA,NA,NA,NA,26200
AZ,0.9300000072,0.7900000215,25.5699996948,17390,NA
AZ,0.8700000048,0.9499999881,27.3700008392,13453,17600
AZ,0.8999999762,0.0700000003,24.9699993134,22059,33900
AZ,0.8399999738,0.8600000143,26.2099990845,9091,22300
AZ,0.8799999952,0.5500000119,22.5599994659,43477,45200
AZ,0.1899999976,0.6100000143,23.7999992371,23864.5,25600
AZ,0.8600000143,0.5500000119,21.5200004578,46758,44400
AZ,0.9599999785,0.6999999881,25.8600006104,27715,27500
AZ,0.9499999881,0.8899999857,22.8600006104,48405,19900
AZ,0.3600000143,0.6999999881,27.3999996185,23064,28700
AZ,0.4799999893,0.6299999952,27.8400001526,17374,25200
AZ,0.8899999857,0.9499999881,26.8199996948,20597,16500
AZ,0.3700000048,0.6200000048,26.3299999237,18721,31200
AZ,0.9399999976,0.9399999976,26.7099990845,25702,16900
AZ,0.9399999976,0.9399999976,26.7099990845,25702,16900
AZ,0.9599999785,0.7699999809,28.0400009155,24309.5,21800
AZ,0.8999999762,0.9300000072,25.2299995422,28185,17900
AZ,0,0.5799999833,24.6599998474,17652,27800
AZ,0.9100000262,0.1700000018,23.2299995422,52839,60900
AZ,NA,NA,NA,NA,NA
AZ,0.5,0.6200000048,25.3700008392,25542,33300
AZ,0.9599999785,0.6899999976,32.9399986267,48504,45200
AZ,0.9499999881,0.7300000191,27.4300003052,22832,29500
AZ,0.8600000143,0.9599999785,24.8400001526,27778.5,20100
AZ,0.9100000262,0.7900000215,27.2800006866,19511,26300
AZ,0.6399999857,0.6499999762,29.5400009155,21636,29800
AZ,0.6700000167,0.5699999928,24.8999996185,26831,36000
AZ,0.9499999881,0.2300000042,24.6800003052,23423,38400
AZ,0.9399999976,0.25,25.8799991608,26790,38400
AZ,0.5699999928,0.7200000286,29.3600006104,16976.5,26700
AZ,0.9700000286,0.0299999993,24.7999992371,38622.5,33800
AZ,0,0.6700000167,25.4699993134,16523,22500
AZ,0.9100000262,0.6299999952,23.6200008392,43127,38800
AZ,0,0.7400000095,28.4799995422,15569,22100
AZ,0.9800000191,0.6800000072,30.8099994659,45681,40700
AZ,0.5099999905,0.6399999857,26.4200000763,20846,32500
AZ,0.9300000072,0.75,28.75,26600,25400
AZ,0.9200000167,0.6700000167,32.2299995422,35946.5,53400
AZ,0.4600000083,0.5899999738,26.3099994659,20626,30100
AZ,0.9100000262,0.8500000238,27.7000007629,20361,27600
NM,0.9100000262,0.8500000238,27.7000007629,20361,27600
AZ,0.9499999881,0.6899999976,29.8199996948,29669,35200
AZ,0.8899999857,0.0199999996,31.1700000763,27100.5,37700
AZ,0.7799999714,0.7599999905,30.2700004578,26809,36600
AZ,0.9499999881,0.0299999993,25.5200004578,35738,23000
AZ,0.6800000072,0.8399999738,24.0799999237,3667,12600
AZ,0.7599999905,0.5600000024,25.0900001526,27247.5,35700
AZ,0.2399999946,0.6499999762,25.8400001526,20030,27100
AZ,0.9200000167,0.5099999905,22.2999992371,43195,31000
AZ,0.8899999857,0.8500000238,28.1700000763,13307,24100
AZ,0.9700000286,0.0299999993,21.6499996185,46537,43400
AZ,0.9399999976,0.7400000095,31.5300006866,29442,52600
AZ,0.8799999952,0.9399999976,25.1299991608,16203,19200
AZ,0.349999994,0.6100000143,27.9899997711,18474,28200
AR,0.9200000167,0.6499999762,25.1399993896,26332.5,34800
